,NN1,PRP,VVN,VVB,NP0,PUN,AJ0,CRD,UNC,DT0,AT0,NN0,PNP,NN2,VVG,CJC,VHB,DPS,CJS,VM0,VBI,AV0,AVP,PUQ,XX0,TO0,VVI,DTQ,VBZ,PRF,ORD,POS,VBB,PNQ,VBN,VVD,CJT,AVQ,PNI,EX0,VHZ,PUR,PUL,VVZ,AJC,VBD,VBG,VHI,AJS,VDG,PNX,VDB,VHN,ZZ0,VDZ,VDI,VHD,VDN,VHG,VDD,ITJ
NN1,560702,404,112,6297,11615,2125,20318,204,340,30,1445,88,1667,206,4358,27,1,2,40,96,5,388,296,15,8,66,1001,19,12,183,149,59,0,2,8,181,8,0,3,0,1,15,0,3,36,19,39,0,1,19,0,4,0,19,0,0,1,0,0,0,31
PRP,449,302175,0,61,11,3,78,0,262,0,77,7,0,9,26,74,0,0,5325,0,0,872,4459,0,0,1234,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0
VVN,361,28,85202,81,5,63,2499,4,0,0,26,0,4,0,0,0,0,0,11,22,0,39,7,1,0,3,70,0,0,0,0,0,0,0,0,9712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VVB,17610,318,416,38561,456,283,444,25,65,47,176,8,56,30,1,13,0,0,21,51,0,108,41,6,0,10,3570,2,4,22,26,4,0,0,0,738,3,0,0,0,0,0,0,1,9,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
NP0,12882,555,58,188,121478,2246,2101,431,351,10,2049,4,2556,376,60,56,2,0,7,30,14,188,293,29,6,84,452,24,6,82,7,186,1,2,4,71,6,0,2,0,0,18,0,9,8,29,0,1,0,0,0,1,0,52,0,0,4,0,0,0,22
PUN,704,0,0,0,0,410376,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ0,10897,253,6628,311,865,482,260462,68,18,88,2105,12,78,26,4065,4,0,0,7,10,1,5475,97,6,2,13,191,1,0,85,0,27,0,1,0,852,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23
CRD,1058,77,14,1,329,244,170,52912,24,1,238,3,178,92,20,12,0,0,1,1,1,45,5,2,1,1,43,8,0,14,0,12,0,1,0,4,1,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
UNC,976,99,6,18,789,202,260,130,5422,0,187,5,37,57,4,3,0,1,3,8,1,23,10,7,1,17,14,2,1,31,0,17,0,0,0,8,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,4,0,15,0,0,0,0,0,0,12
DT0,143,2,0,0,7,0,361,0,1,81742,1,0,0,0,0,0,0,0,0,0,0,3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
