,NN1,PRP,VVN,VVB,NP0,PUN,AJ0,CRD,UNC,DT0,AT0,NN0,PNP,NN2,VVG,CJC,VHB,DPS,CJS,VM0,VBI,AV0,AVP,PUQ,XX0,TO0,VVI,DTQ,VBZ,PRF,ORD,POS,VBB,PNQ,VBN,VVD,CJT,AVQ,PNI,EX0,VHZ,PUR,PUL,VVZ,AJC,VBD,VBG,VHI,AJS,VDG,PNX,VDB,VHN,ZZ0,VDZ,VDI,VHD,VDN,VHG,VDD,ITJ
NN1,563596,241,895,1464,8962,0,19949,23,98,175,31,88,104,20,8759,0,0,0,222,300,0,129,980,0,0,0,5591,0,0,0,169,0,0,0,0,546,0,0,4,0,0,0,0,2,126,0,108,0,1,31,0,2,0,20,0,0,0,0,0,0,32
PRP,54,259660,0,6,1,0,276,3,501,0,74,0,0,9,92,74,0,0,11636,0,0,401,3684,0,0,38693,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0
VVN,747,67,71948,55,9,0,4885,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,19008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VVB,26918,308,758,9674,325,0,789,1,15,51,0,15,2,0,0,0,0,0,0,22,0,12,21,0,0,0,24104,0,0,0,28,0,0,0,0,68,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
NP0,33016,9,0,221,111980,0,1085,22,86,0,8,38,8,210,15,0,0,0,0,48,0,29,86,0,0,0,0,0,0,0,7,0,2,19,0,4,0,0,0,0,0,0,0,7,9,0,0,0,13,0,0,1,0,118,0,0,0,0,0,0,0
PUN,4,0,0,0,0,411074,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ0,21184,554,10692,50,1066,0,246532,0,12,0,0,11,0,42,7319,0,0,0,0,1,0,3634,328,0,0,0,327,0,0,0,0,0,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2
CRD,2751,17,0,0,6,0,2,54121,0,0,0,1,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
UNC,2789,44,0,8,339,0,82,20,4949,0,16,9,1,14,0,0,0,1,0,1,0,2,0,0,0,11,10,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,41,0,11,0,0,0,0,0,0,23
DT0,10,0,0,0,0,0,859,0,1,73846,0,0,0,0,0,0,0,0,0,0,0,5787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0,9,0,0,0,0,0,0,0,8,0,342544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN0,841,28,0,4,32,0,7,1,2,0,0,12501,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PNP,66,0,0,0,16,0,0,0,0,0,0,0,161583,0,0,0,0,3262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
NN2,6585,0,0,0,553,0,8,0,11,0,0,1,0,192147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VVG,6575,76,0,0,36,0,4027,0,2,0,0,0,0,0,49256,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DPS,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,57707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJS,4,3818,136,0,0,0,0,0,1,0,0,0,0,0,60,72,0,0,52137,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VM0,152,0,436,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51221,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24503,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AV0,2050,4297,24,1,25,0,6964,0,12,2926,429,0,0,0,12,14,0,0,2682,0,0,159262,0,0,0,0,19,0,0,0,0,0,49,0,0,0,140,0,3,2045,0,0,0,0,1372,0,0,0,471,0,0,0,0,1,0,0,0,0,0,0,1
AVP,1,16235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64631,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XX0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
