,NN1,PRP,VVN,VVB,NP0,PUN,AJ0,CRD,UNC,DT0,AT0,NN0,PNP,NN2,VVG,CJC,VHB,DPS,CJS,VM0,VBI,AV0,AVP,PUQ,XX0,TO0,VVI,DTQ,VBZ,PRF,ORD,POS,VBB,PNQ,VBN,VVD,CJT,AVQ,PNI,EX0,VHZ,PUR,PUL,VVZ,AJC,VBD,VBG,VHI,AJS,VDG,PNX,VDB,VHN,ZZ0,VDZ,VDI,VHD,VDN,VHG,VDD,ITJ
NN1,558468,404,111,6958,12651,1880,20181,207,330,30,1564,88,2416,206,4438,27,1,2,40,89,2,375,298,36,8,51,981,19,12,183,149,61,0,2,8,181,8,0,3,0,1,18,0,3,36,24,39,0,1,19,0,7,0,19,0,0,1,0,0,0,32
PRP,504,301878,0,61,13,3,77,0,258,1,77,7,0,9,26,74,0,0,5553,0,0,899,4445,0,0,1230,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0
VVN,387,27,85162,81,19,53,2509,4,0,0,35,0,18,0,0,0,0,0,15,20,0,43,7,2,0,3,70,0,0,0,0,0,0,0,0,9681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
VVB,16762,318,412,39394,646,193,407,32,57,47,206,8,166,30,1,13,0,0,21,45,0,115,41,37,0,7,3375,2,4,22,26,4,0,0,0,716,3,0,0,0,0,0,0,1,9,6,0,0,0,0,0,2,0,1,0,0,0,0,0,0,13
NP0,11575,539,58,198,122294,2024,2022,434,346,10,2095,4,3289,369,84,56,2,0,8,21,6,169,294,64,6,66,450,23,6,82,7,188,1,1,4,70,6,0,2,0,0,27,0,9,8,41,0,1,0,0,0,1,0,55,0,0,4,0,0,0,22
PUN,792,0,0,0,0,410288,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ0,10813,254,6610,322,1169,425,259855,67,18,92,2373,12,124,26,4127,4,0,0,7,6,1,5533,98,17,2,10,190,1,0,85,0,29,0,1,0,851,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,30
CRD,1014,76,14,1,352,225,154,52845,22,1,257,3,214,92,20,12,0,0,2,1,0,51,5,11,1,1,43,8,0,14,0,12,0,1,0,4,1,0,1529,0,0,0,0,0,0,1,0,0,0,0,0,0,0,94,0,0,0,0,0,0,1
UNC,939,101,6,18,821,184,257,147,5405,0,190,5,55,57,4,3,0,1,3,8,0,26,10,7,1,17,14,2,1,31,0,17,0,0,0,8,0,0,0,0,0,1,0,2,0,5,0,0,0,0,0,4,0,15,0,0,0,0,0,0,12
DT0,163,2,0,0,7,0,352,0,1,81756,1,0,0,0,0,0,0,0,0,0,0,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT0,417,3,0,0,3,1,0,0,15,0,341822,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,149
NN0,274,53,14,1,202,55,66,64,24,0,91,12960,11,42,5,4,0,0,2,0,0,19,10,2,0,3,22,0,0,7,1,4,0,0,1,7,1,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PNP,264,1,0,0,11,9,1,3,0,0,9,0,164063,0,0,0,0,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
NN2,3902,75,35,8,1188,550,117,32,42,5,176,5,595,192683,8,13,0,0,5,23,2,110,72,7,3,52,60,5,9,23,0,1,0,0,1,22,0,1,1,0,0,0,0,2271,0,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
VVG,3706,211,32,1,90,65,2903,2,0,0,188,0,69,0,52582,5,0,0,24,0,0,22,7,10,0,0,12,7,1,8,0,4,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CJC,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133562,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VHB,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0
