tag,P(tag)
NN1,0.1659525
PRP,0.08494666
VVN,0.024804588
VVB,0.016443497
NP0,0.053277217
AJ0,0.07891101
CRD,0.0162169
UNC,0.0029258283
DT0,0.022008244
AT0,0.089448124
NN0,0.005562743
PNP,0.03803366
NN2,0.05532882
VVG,0.015613134
CJC,0.03349234
VHB,0.0027989806
DPS,0.014190922
CJS,0.014754408
VM0,0.012487703
VBI,0.0057739452
AV0,0.04432132
AVP,0.010272454
XX0,0.0063144453
TO0,0.015765605
VVI,0.022460489
DTQ,0.005654584
VBZ,0.011124643
PRF,0.030282028
ORD,0.0040515363
POS,0.006483681
VBB,0.0052937586
PNQ,0.0024809649
VBN,0.0025312612
VVD,0.023459453
CJT,0.007565736
AVQ,0.002762919
PNI,0.002832617
EX0,0.0022024903
VHZ,0.0031697177
VVZ,0.009338968
AJC,0.0020285097
VBD,0.011832481
VBG,0.0008544035
VHI,0.0018031782
AJS,0.0011827525
VDG,0.00018937537
PNX,0.0012499196
VDB,0.0011224392
VHN,0.00021510343
ZZ0,0.000589531
VDZ,0.00051582645
VDI,0.00058963645
VHD,0.0041758534
VDN,0.00026856296
VHG,0.00033646816
VDD,0.0010682415
ITJ,0.00063782383
