 : 1
$ : 38
$0.5 : 1
$1 : 57
$1,000 : 15
$1,100 : 1
$1,170 : 1
$1,300 : 1
$1,330,000 : 1
$1,400 : 3
$1,400billion : 1
$1,500 : 1
$1,514 : 1
$1,520 : 1
$1,740 : 1
$1,798,077 : 1
$1,940 : 1
$1,995 : 1
$1-$2 : 1
$1.0 : 1
$1.00 : 1
$1.036 : 1
$1.036billion : 1
$1.036bn : 1
$1.1 : 3
$1.12 : 1
$1.13m : 1
$1.15 : 2
$1.15m : 1
$1.1billion : 2
$1.1m : 1
$1.2 : 6
$1.22 : 1
$1.25 : 2
$1.26 : 1
$1.2bn : 1
$1.2m : 1
$1.3 : 8
$1.30 : 1
$1.31 : 1
$1.35 : 1
$1.36 : 1
$1.3billion : 1
$1.3bn : 3
$1.3m : 2
$1.4 : 2
$1.40 : 2
$1.5 : 14
$1.50 : 1
$1.54 : 1
$1.5510 : 2
$1.5585 : 2
$1.57/word : 1
$1.5715 : 1
$1.5775 : 1
$1.5billion : 1
$1.5bn : 3
$1.6 : 5
$1.6020 : 1
$1.6045 : 1
$1.6050 : 1
$1.6080 : 1
$1.61 : 1
$1.6102 : 2
$1.6130 : 1
$1.67 : 2
$1.6bn : 1
$1.6m : 1
$1.7 : 10
$1.70 : 2
$1.71 : 1
$1.7420 : 1
$1.7724 : 1
$1.79 : 1
$1.7billion : 1
$1.7m : 1
$1.8 : 4
$1.80 : 2
$1.85 : 1
$1.8bn : 2
$1.95 : 2
$1.9bn : 2
$10 : 22
$10,000 : 10
$10-$15 : 1
$10.1m : 1
$10.4 : 2
$10.8 : 1
$10/lb : 1
$100 : 14
$100,000 : 14
$100.2bn : 1
$100.4 : 2
$100billion : 1
$100bn : 2
$100m : 17
$100million : 6
$100–150 : 1
$1012232 : 1
$103 : 2
$103million : 1
$104 : 1
$105 : 1
$105m : 1
$108 : 1
$108bn : 1
$109,000 : 1
$109.4 : 1
$109.6 : 1
$10bn : 1
$10m : 14
$10m-$14m : 1
$10m-worth : 1
$11 : 3
$11.0 : 1
$11.1 : 1
$11.2 : 1
$11.4 : 1
$11.6m : 2
$11.9 : 1
$11.95 : 1
$110 : 2
$110,000 : 1
$110-a-share : 1
$110billion : 1
$110m : 3
$111 : 1
$112 : 1
$112m : 1
$113 : 1
$114 : 1
$115 : 5
$115m : 2
$116 : 1
$116m : 1
$117.8bn : 1
$117m : 1
$118 : 1
$118m : 1
$119 : 1
$11billion : 1
$11bn : 1
$11million : 1
$12 : 7
$12,500 : 1
$12,675 : 1
$12.2m : 1
$12.5 : 1
$12.6m : 1
$12.8 : 1
$12.8billion : 2
$120 : 5
$120,000 : 1
$120.2 : 1
$120m : 2
$121m : 1
$123.6bn : 1
$125 : 4
$125,000 : 1
$125m : 3
$126 : 1
$127 : 1
$128 : 1
$129 : 1
$129,000 : 1
$12billion : 3
$12m : 5
$13 : 4
$13,000 : 1
$13.1 : 1
$13.3 : 1
$13.3m : 1
